AuthorID,Author,Date,Content,Attachments,Reactions
"591298374867746832","damnation_space","2021-04-12T15:34:38.5520000-04:00","Purdue '25 for FYE :peepocelebrate:","","🎉 (36),tada_animated (27),❤️ (25),🥳 (30),🌽 (20),🚋 (16),peepocelebrate (8),duckheart (8),blobheart (7),prismic_groove (7),upvoteultramegasupreme (7),naeright (8),naeleft (8),witchfroggie (9),stonks (8),peepoyes (7),roohappy (7)"
"271812832356466689","java.lp","2021-04-12T17:25:32.9250000-04:00","UCF '25 for Electrical Engineering! :naeleft: :naeright:","","🥳 (33),alphau (23),alphac (21),alphaf (21),upvoteultramegasupreme (16),💛 (15),🖤 (15),naeleft (7),naeright (7),prismic_groove (7),pikaoh (7),witchfroggie (8),peepocelebrate (8),roohappy (7),duckheart (7),blobheart (7),peepoyes (7)"
"193498178023063552","orangey10","2021-04-12T18:00:01.2490000-04:00","Brown '25, intending on concentrating in Music! The dream, the opportunity of a lifetime and more!! 😄 🤎 🐻","","🐻 (42),🥳 (29),alphab (28),alphar (24),alphao (22),alphaw (24),alphan (23),🤎 (21),🎹 (17),🎵 (15),blobheart (5),duckheart (6),peepocelebrate (6),roohappy (5),snoocool (5),prismic_groove (6),naeleft (6),naeright (6)"
"715344537752698954","mintymangoess","2021-04-12T23:07:59.1240000-04:00","Ithaca '25 for Theatre Production and design!!!!💙 💛","","prismic_groove (34),peepocelebrate (26),🥳 (28),alphai (28),alphat (25),alphah (25),alphaa (25),alphac (24),Amherst (27),❗ (21),🎭 (19),prayingemoji (8),prayingreversed (7),naeleft (7),naeright (8),blobheart (7)"
"531202106145767436","akpekka","2021-04-13T11:10:10.9550000-04:00","Purdue ‘25 FYE -> MechE! BOILER UP!!","","upvoteultramegasupreme (31),roohappy (25),🥳 (29),prismic_groove (20),prayingemoji (18),prayingreversed (17),alphap (26),alphau (25),🇷 (26),🇩 (25),🇺 (24),alphae (24),peepocelebrate (14),pikaoh (7),typing (7),peepoyes (7),🇱 (1)"
"256236580996513793","prispronk","2021-04-13T14:00:58.2410000-04:00","Just committed! Duke '25 baby!","","carlvibe (36),🥳 (33),tada_animated (24),carlpartyslide (23),Duke (28),alphau (27),alphak (26),alphae (26),4784_crumbdance (25),ACOSP_catdance (22),Dancing_Birds (22),BonesDancer (23),😈 (20),alphap (20),alphao (20),alphag (20)"
"221072226722643970","mostertrucks","2021-04-13T16:45:54.6520000-04:00","uc berkeley '25 mech e !!!!🐻 😝","","peepocelebrate (39),🥳 (33),alphac (26),alphaa (23),alphal (20),alphap (18),alphao (17),alphag (18),wearytoast (14),🤝 (12),snoocool (10),witchfroggie (7),pleadinghearts (6),stonks (6),pikaoh (6),upvoteultramegasupreme (7),roohappy (6),duckheart (6)"
"656263350098984961","shubhra07","2021-04-13T21:04:57.4230000-04:00","stanford '25 math!! 🌲","","alphas (81),alphat (43),alphaa (41),alphan (38),alphaf (37),alphao (36),alphar (37),alphad (37),💯 (21),yuh (25),🥳 (26),alphap (20),alphag (18),prismic_groove (18),peepocelebrate (18),upvoteultramegasupreme (7),snoocool (7)"
"124539457373339648","kshxtij","2021-04-13T21:53:59.0590000-04:00","UC Davis for Computer Science Engineering :D","","🥳 (40),upvoteultramegasupreme (24),🇺 (27),🇨 (30),🇩 (27),alphap (15),alphag (18),prismic_groove (16),peepocelebrate (16),yass (14),coolblush (14),blobheart (7),duckheart (8),snoocool (8),peepolove (7),uwukitty (7),stonks (7),typing (9)"
"182824744687501312","retr03136","2021-04-14T01:59:17.1020000-04:00","Penn State for Business! :peepocelebrate:","","🥳 (36),prismic_groove (21),snoocool (18),peepocelebrate (17),🤑 (18),alphap (24),alphas (21),alphau (24),stonks (16),alphae (15),alphan (14),🇳 (14),blobheart (7),duckheart (8),stare (7),typing (7),roohappy (7)"
"504410973889888257","karensunni","2021-04-14T12:25:52.6650000-04:00","boston university '25 for elementary education!! ❤️","","🎉 (46),🅱️ (36),alphao (32),alphas (30),alphat (29),alphan (31),alphau (27),prismic_groove (17),heartato (15),duckheart (15),dogekek (12),carlheart (14),blobheart (14),witchfroggie (17),uwukitty (14),ghosthugl (13),kirbyheart (15),pleadinghearts (13),fheart (15),naeleft (15)"
"479491544496209922","clcironic","2021-04-14T22:46:29.9890000-04:00","carnegie mellon SCS '25! 🍉","","peepocelebrate (39),🥳 (38),alphac (25),alpham (24),alphau (23),alphas (21),🇨 (21),🇸 (20),blobheart (15),duckheart (14),carlheartthrow (13),witchfroggie (13),roohappy (13),typing (15),upvoteultramegasupreme (11),peepolove (11),snoocool (11),naeright (11),naeleft (11)"
