name,major
user685,Design/Media Arts
user685,Cognitive Science
user686,Political Science
user686,Economics
user686,Theater
user687,Electrical and Computer Engineering
user688,Undecided
user689,Computer Science
user689,Mathematics
user690,Astrophysics
user691,Computer Science
user692,Philosophy
user692,Neuroscience
user692,Psychology
user693,Neuroscience
user694,Politics
user695,Communication
user696,Political Science
user697,Artificial Intelligence
user698,Biology
user698,English
user699,Undecided
user700,Political Science
user700,Economics
user701,Computer Science
user701,Data Science
user701,Economics
user702,Nuclear Engineering
user703,Environmental Engineering
user704,Undeclared
user705,Mathematical Physics
user705,Pure Mathematics
user706,Political Science
user706,Economics
user707,Undeclared
user708,Electrical and Computer Engineering
user709,Software Engineering
user710,Biomedical Engineering
user711,Computer Science
user712,Computer Science
user713,Electrical Engineering
user714,Computer Science
user715,Mathematics
user716,Computer Science
user717,Computer Science
user718,Undeclared
user719,Undeclared
user720,Computer Science
user721,Software Engineering
user722,Computer Science
user723,Undeclared
user724,General Biology
user725,Bioengineering
user726,English
user727,Undecided
user728,Computer Science
user729,Philosophy
user729,Politics
user729,Economics
user730,Social Studies Education
user731,Undeclared
user732,Computer Science
user733,Public Policy
user734,N/A
user735,Computer Science
user736,Psychology
user737,Computer Science
user738,Astrophysics
user739,N/A
user740,International Relations
user740,Political Science
user741,Computer Science
user742,Marketing
user743,N/A
user744,N/A
user745,Biological Sciences
user746,English
user746,Political Science
user747,Neuroscience
user748,Computer Science
user748,Economics
user749,Political Science
user749,Jazz Studies
user750,Computer Science
user751,Mathematics
user752,Philosophy
user752,Cognitive Science
user753,Economics
user753,Music
user754,Engineering
user754,Computer Science
user755,N/A
user756,Electrical Engineering
user757,Molecular and Cellular Biology
user757,Astronomy
user758,Electrical Engineering
user759,Chemical Engineering
user760,Psychology
user760,Pre-Med
user761,Economics
user761,Finance
user762,Communication Studies
user763,Mathematical Sciences
user764,N/A
user765,Linguistics
user766,N/A
user767,Computer Science
user768,Computer Science
user769,Electrical & Computer Engineering
user770,Business Management
user770,Administration
user771,Computer Science
user771,Music
user772,Computer Science
user773,History
user774,N/A
user775,Neuroscience
user776,Accounting
user777,Economics
user778,Journalism
user778,Political Science
user779,Computing
user779,Information Technologies
user780,Digital Media Management
user781,Economics
user781,Government
user782,Economics
user782,Statistics
user783,International Relations
user784,Chemical Engineering
user785,Electrical Engineering
user786,N/A
user787,N/A
user788,N/A
user789,N/A
user790,Political Science
user790,Psychology
user791,Neurosciences
user792,Anthropology
user792,Art History
user792,Archaeology
user792,French
user793,Physics
user793,Quantum Molecular Engineering
user794,Government
user794,Law
user795,Game Design
user795,Development
user796,Engineering
user797,N/A
